# from (http://archives.esac.esa.int/hsa/legacy/ADP/PlanetaryModels/)# freq[GHz]	T_rj[K_rj]
1303.0	35.3419
1304.0	35.3222
1305.0	35.3021
1306.0	35.2825
1307.0	35.2628
1308.0	35.2429
1309.0	35.2234
1310.0	35.2041
1311.0	35.1839
1312.0	35.1646
1313.0	35.1447
1314.0	35.1253
1315.0	35.1055
1316.0	35.0863
1317.0	35.0666
1318.0	35.047
1319.0	35.0275
1320.0	35.0078
1321.0	34.9884
1322.0	34.9783
1323.0	34.9493
1324.0	34.9297
1325.0	34.9104
1326.0	34.8907
1327.0	34.8721
1328.0	35.54
1329.0	34.8404
1330.0	34.8132
1331.0	34.7935
1332.0	34.7739
1333.0	34.7549
1334.0	34.7349
1335.0	34.7158
1336.0	34.6965
1337.0	34.6771
1338.0	34.6574
1339.0	34.638
1340.0	34.619
1341.0	34.5995
1342.0	34.5801
1343.0	34.5607
1344.0	34.5415
1345.0	34.522
1346.0	34.5027
1347.0	34.4834
1348.0	34.4642
1349.0	34.445
1350.0	34.4254
1351.0	34.4062
1352.0	34.3868
1353.0	34.3678
1354.0	34.3484
1355.0	34.3292
1356.0	34.31
1357.0	34.2906
1358.0	34.2713
1359.0	34.2522
1360.0	34.2329
1361.0	34.2137
1362.0	34.1946
1363.0	34.1756
1364.0	34.1564
1365.0	34.137
1366.0	34.1179
1367.0	34.0984
1368.0	34.0791
1369.0	34.0596
1370.0	34.04
1371.0	34.0201
1372.0	34.0002
1373.0	33.9799
1374.0	33.959
1375.0	33.9375
1376.0	33.9147
1377.0	33.8901
1378.0	33.8626
1379.0	33.8294
1380.0	33.788
1381.0	33.7421
1382.0	36.7742
1383.0	33.7134
1384.0	33.7127
1385.0	33.7184
1386.0	33.7133
1387.0	33.7033
1388.0	33.6899
1389.0	33.675
1390.0	33.659
1391.0	33.6424
1392.0	33.6254
1393.0	33.6082
1394.0	33.5904
1395.0	33.5721
1396.0	33.5541
1397.0	33.5362
1398.0	33.518
1399.0	33.4998
1400.0	33.4814
1401.0	33.463
1402.0	33.4447
1403.0	33.4264
1404.0	33.4081
1405.0	33.3895
1406.0	33.371
1407.0	33.3528
1408.0	33.3346
1409.0	33.3159
1410.0	33.3145
1411.0	33.571
1412.0	33.2608
1413.0	33.2424
1414.0	33.2241
1415.0	33.2063
1416.0	33.1921
1417.0	33.7316
1418.0	33.1519
1419.0	33.1332
1420.0	33.1152
1421.0	33.0968
1422.0	33.0787
1423.0	33.0606
1424.0	33.0424
1425.0	33.0246
1426.0	33.0061
1427.0	32.988
1428.0	32.9701
1429.0	32.9521
1430.0	32.9338
1431.0	32.9157
1432.0	32.8976
1433.0	32.8796
1434.0	32.8614
1435.0	32.8435
1436.0	32.8255
1437.0	32.8072
1438.0	32.7893
1439.0	32.7714
1440.0	32.7534
1441.0	32.7361
1442.0	32.7171
1443.0	32.6992
1444.0	32.6816
1445.0	32.6639
1446.0	32.6451
1447.0	32.6275
1448.0	32.6097
1449.0	32.5917
1450.0	32.5736
1451.0	32.5556
1452.0	32.5379
1453.0	32.5201
1454.0	32.5022
1455.0	32.4842
1456.0	32.4663
1457.0	32.4484
1458.0	32.4307
1459.0	32.4129
1460.0	32.395
1461.0	32.3769
1462.0	32.3594
1463.0	32.3417
1464.0	32.3237
1465.0	32.3058
1466.0	32.2881
1467.0	32.2704
1468.0	32.2526
1469.0	32.2348
1470.0	32.2172
1471.0	32.1997
1472.0	32.182
1473.0	32.1651
1474.0	32.1469
1475.0	32.1293
1476.0	32.1117
1477.0	32.0942
1478.0	32.0765
1479.0	32.0589
1480.0	32.0416
1481.0	32.0237
1482.0	32.0061
1483.0	31.9887
1484.0	31.9707
1485.0	31.9531
1486.0	31.9354
1487.0	31.9174
