# from (http://archives.esac.esa.int/hsa/legacy/ADP/PlanetaryModels/)# freq[GHz]	T_rj[K_rj]
1256.0	36.0842
1257.0	36.1089
1258.0	36.1502
1259.0	36.1716
1260.0	36.1816
1261.0	36.1836
1262.0	36.1823
1263.0	36.1753
1264.0	36.1646
1265.0	36.1538
1266.0	36.1407
1267.0	36.1246
1268.0	36.1085
1269.0	36.0925
1270.0	36.0744
1271.0	36.0562
1272.0	36.0374
1273.0	36.0184
1274.0	35.9991
1275.0	35.9796
1276.0	35.9599
1277.0	35.9399
1278.0	35.9201
1279.0	35.8999
1280.0	35.8797
1281.0	35.8595
1282.0	35.8393
1283.0	35.819
1284.0	35.7986
1285.0	35.7783
1286.0	35.7579
1287.0	35.7375
1288.0	35.7171
1289.0	35.6968
1290.0	35.6763
1291.0	35.6558
1292.0	35.6352
1293.0	35.6147
1294.0	35.5943
1295.0	35.5738
1296.0	35.5533
1297.0	35.5329
1298.0	35.5124
1299.0	35.4919
1300.0	35.4713
1301.0	35.451
1302.0	35.4304
1303.0	35.4099
1304.0	35.3895
1305.0	35.3692
1306.0	35.3488
1307.0	35.3283
1308.0	35.3079
1309.0	35.2874
1310.0	35.2671
1311.0	35.2467
1312.0	35.2264
1313.0	35.2059
1314.0	35.1855
1315.0	35.1652
1316.0	35.1449
1317.0	35.1245
1318.0	35.1043
1319.0	35.0839
1320.0	35.0635
1321.0	35.0432
1322.0	35.023
1323.0	35.0029
1324.0	34.9827
1325.0	34.9624
1326.0	34.9422
1327.0	34.9219
1328.0	34.9016
1329.0	34.8813
1330.0	34.8613
1331.0	34.841
1332.0	34.8208
1333.0	34.8007
1334.0	34.7805
1335.0	34.7604
1336.0	34.7403
1337.0	34.7202
1338.0	34.7
1339.0	34.6799
1340.0	34.6597
1341.0	34.6397
1342.0	34.6197
1343.0	34.5996
1344.0	34.5797
1345.0	34.5595
1346.0	34.5396
1347.0	34.5195
1348.0	34.4997
1349.0	34.4796
1350.0	34.4597
1351.0	34.4398
1352.0	34.4197
1353.0	34.3998
1354.0	34.3799
1355.0	34.36
1356.0	34.3402
1357.0	34.3202
1358.0	34.3003
1359.0	34.2804
1360.0	34.2605
1361.0	34.2406
1362.0	34.2208
1363.0	34.2009
1364.0	34.181
1365.0	34.1612
1366.0	34.1418
1367.0	34.1224
1368.0	34.103
1369.0	34.0836
1370.0	34.0642
1371.0	34.0447
1372.0	34.0253
1373.0	34.006
1374.0	33.9868
1375.0	33.9675
1376.0	33.9483
1377.0	33.9291
1378.0	33.9099
1379.0	33.8907
1380.0	33.8716
1381.0	33.8524
1382.0	33.8333
1383.0	33.8141
1384.0	33.7951
1385.0	33.7761
1386.0	33.757
1387.0	33.738
1388.0	33.7189
1389.0	33.6996
1390.0	33.6807
1391.0	33.6614
1392.0	33.6426
1393.0	33.6233
1394.0	33.6043
1395.0	33.5853
1396.0	33.5663
1397.0	33.5474
1398.0	33.5284
1399.0	33.5094
1400.0	33.4905
1401.0	33.4715
1402.0	33.4526
1403.0	33.4336
1404.0	33.4147
1405.0	33.3958
1406.0	33.377
1407.0	33.3581
1408.0	33.3392
1409.0	33.3205
1410.0	33.3016
1411.0	33.3396
1412.0	33.2639
1413.0	33.2451
1414.0	33.2264
1415.0	33.2075
1416.0	33.1888
1417.0	33.1701
1418.0	33.1513
1419.0	33.1325
1420.0	33.1137
1421.0	33.095
1422.0	33.0761
1423.0	33.0573
