# Data was provided from Jon Gudmundsson
# freq[GHz]	T_rj[K_rj]
17.37845	156.2282
17.37864	156.2278
17.37891	156.2273
17.37933	156.2264
17.37996	156.2237
17.3809	156.2188
17.38232	156.2144
17.38444	156.2061
17.38761	156.1941
17.39238	156.1767
17.39953	156.1489
17.41026	156.1102
17.42636	156.0499
17.4505	155.9596
17.48671	155.8276
17.54102	155.6264
17.6225	155.3257
17.75412	154.8416
17.84187	154.5197
17.90037	154.3071
17.93937	154.1646
17.96537	154.0701
17.98271	154.0064
17.99426	153.9646
18.00196	153.9365
18.0071	153.917
18.01052	153.9055
18.01281	153.898
18.01433	153.8907
18.01534	153.8885
18.01602	153.8866
18.01647	153.8852
18.01677	153.8838
18.01697	153.8826
18.01711	153.8818
18.01719	153.8813
18.01725	153.8809
18.01729	153.8807
18.01732	153.8805
18.01734	153.8804
18.01736	153.8803
18.01739	153.8801
18.01743	153.8799
18.0175	153.8796
18.0176	153.8792
18.01776	153.8786
18.01799	153.8777
18.01833	153.8768
18.01885	153.8756
18.01962	153.8737
18.02079	153.8691
18.02253	153.8615
18.02515	153.8514
18.02908	153.8382
18.03497	153.8174
18.0438	153.785
18.05705	153.7372
18.07693	153.6658
18.10674	153.5565
18.11355	153.531
18.11808	153.5151
18.12111	153.5039
18.12312	153.4975
18.12446	153.4926
18.12536	153.4895
18.12596	153.4872
18.12636	153.4854
18.12662	153.4842
18.1268	153.4834
18.12692	153.4829
18.127	153.4826
18.12705	153.4824
18.12708	153.4823
18.12711	153.4822
18.12712	153.4821
18.12715	153.482
18.12719	153.4818
18.12725	153.4815
18.12734	153.4812
18.12748	153.4807
18.12768	153.4802
18.12799	153.4794
18.12845	153.4786
18.12914	153.4765
18.13018	153.4713
18.13174	153.4662
18.13407	153.4576
18.13757	153.4461
18.14282	153.4249
18.14931	153.4025
18.15364	153.3872
18.15653	153.3765
18.15845	153.3703
18.15973	153.3651
18.16059	153.362
18.16116	153.36
18.16154	153.3587
18.16179	153.3577
18.16196	153.3569
18.16207	153.3564
18.16215	153.356
18.1622	153.3558
18.16223	153.3556
18.16225	153.3555
18.16227	153.3554
18.1623	153.3553
18.16234	153.3551
18.16241	153.3548
18.16251	153.3544
18.16265	153.3539
18.16287	153.3532
18.1632	153.3522
18.16369	153.3505
18.16442	153.3476
18.16553	153.3436
18.16718	153.3384
18.16966	153.3292
18.17339	153.3156
18.17487	153.3101
18.17586	153.3065
18.17652	153.3047
18.17696	153.3035
18.17726	153.3022
18.17745	153.3012
18.17758	153.3005
18.17767	153.3
18.17773	153.2998
18.17776	153.2996
18.17779	153.2995
18.17781	153.2994
18.17783	153.2993
18.17785	153.2992
18.17789	153.299
18.17795	153.2988
18.17803	153.2984
18.17817	153.2981
18.17836	153.2974
18.17865	153.2962
18.17909	153.2944
18.17976	153.292
18.18075	153.2894
18.18223	153.2849
18.18446	153.2764
18.18781	153.2629
18.19283	153.2449
18.20035	153.2187
18.22873	153.1157
18.24764	153.047
18.26025	153.0023
18.26866	152.9718
18.27426	152.9515
18.278	152.9391
18.28049	152.9286
18.28215	152.9221
18.28326	152.9193
18.284	152.9166
18.28449	152.9146
18.28482	152.9134
18.28503	152.9125
18.28518	152.9119
18.28528	152.9115
18.28534	152.9113
18.28539	152.9112
18.28542	152.9111
18.28543	152.911
18.28545	152.9109
18.28548	152.9108
18.28552	152.9106
18.28559	152.9104
18.28568	152.91
18.28582	152.9094
18.28603	152.9087
18.28635	152.9077
18.28683	152.906
18.28754	152.903
18.28861	152.8992
18.29022	152.893
18.29263	152.8848
18.29625	152.872
18.30167	152.8522
18.30981	152.8234
18.31111	152.8183
18.31198	152.8158
18.31256	152.8142
18.31294	152.8126
18.3132	152.8116
18.31337	152.8109
18.31348	152.8104
18.31356	152.8102
18.31361	152.81
18.31364	152.8099
18.31367	152.8098
18.31369	152.8098
18.31372	152.8096
18.31377	152.8095
18.31384	152.8092
18.31395	152.8089
18.31412	152.8083
18.31436	152.8072
18.31473	152.8054
18.31529	152.8034
18.31612	152.8005
18.31737	152.7966
18.31924	152.7885
18.32205	152.7799
18.34524	152.6958
18.36069	152.6416
18.371	152.6028
18.37787	152.5781
18.38245	152.5619
18.3855	152.5527
18.38754	152.5441
18.3889	152.5402
18.3898	152.5354
18.3904	152.5331
18.3908	152.5317
18.39107	152.5309
18.39125	152.5305
18.39137	152.5303
18.39145	152.5302
18.3915	152.5301
18.39154	152.5301
18.39156	152.53
18.39158	152.53
18.39162	152.5299
18.39167	152.5298
18.39175	152.5296
18.39186	152.5292
18.39204	152.5285
18.3923	152.5271
18.39269	152.5251
18.39328	152.5233
18.39417	152.5202
18.3955	152.5156
18.39749	152.507
18.40047	152.4969
18.40495	152.482
18.41166	152.4573
18.42174	152.4205
18.43685	152.3664
18.45771	152.2932
18.47162	152.2427
18.48089	152.21
18.48707	152.187
18.49119	152.1727
18.49394	152.1621
18.49577	152.1562
18.49699	152.1511
18.4978	152.1489
18.49835	152.1474
18.49871	152.146
18.49895	152.145
18.49911	152.1442
18.49922	152.1437
18.49929	152.1434
18.49934	152.1431
18.49937	152.143
18.49939	152.1429
18.49941	152.1428
18.49944	152.1426
18.4995	152.1424
18.49957	152.1421
18.49968	152.1418
18.49985	152.1413
18.50011	152.1408
18.50049	152.1399
18.50106	152.1378
18.50191	152.1342
18.5032	152.1303
18.50512	152.1229
18.50801	152.1123
18.51234	152.0967
18.51884	152.0723
18.52859	152.0386
18.54322	151.986
18.56516	151.909
18.59806	151.7914
18.64742	151.6157
18.70113	151.4236
18.73694	151.297
18.76081	151.212
18.77673	151.1538
18.78734	151.1181
18.79441	151.0917
